"name","financial_impact","probability","age","employees","annual_revenue","corax_score","vulnerabilities","threats_to_industry","pagerank","max_records","asset_count","asset_locations"
"OffitKurman",529177,0.578057,31,300,35000000,422,NULL,20,0.000000794081,397069,21,7
"ACSIA Partners",628294,0.514432,NULL,390,75000000,486,25,2,0.000000682982,850862,23,2
"Contact Fill",343243,0.571767,NULL,100,15000000,428,NULL,9,0.000000682982,135899,5,2
"Toole Design Group",275798,0.439248,NULL,100,15000000,561,20,20,0.000000682982,136138,12,4
"Maloney & Kennedy, P",339928,0.52773,NULL,100,15000000,472,7,12,0.000000682982,136138,8,5
"Millar Glenn R CPA PC",24193,0.328604,NULL,5,500000,671,NULL,12,0.000000794081,3472,2,2
"Quench USA",579929,0.715052,17,290,35000000,285,NULL,NULL,0.000000777822,361640,30,8
"Oil and Gas Job Search",303205,0.580906,NULL,180,27000000,419,20,19,0.00000079679,247982,49,4
"The Provident Bank",573298,0.716863,179,176,26400000,283,NULL,12,0.000000682982,305500,6,3
"Cross Street Partners",172061,0.369553,NULL,30,5000000,630,NULL,13,0.000000682982,39707,8,3
"CoxHealth",1171366,0.683728,112,2090,313500000,316,NULL,10,0.000000682982,4085551,32,2
"CFG Community Bank",450719,0.542666,23,75,35000000,457,NULL,12,0.000000682982,364517,14,3
"Jim Thorpe National Bank",30416,0.230873,NULL,5,500000,769,NULL,8,0,3472,2,2
"Suncorp Group",17833484,0.777877,22,14500,13689000000,222,NULL,NULL,0.000000682982,171841153,71,8
"Mecklenburg County",134739,0.343683,5,30,5000000,656,NULL,67,0.000000794081,32123,13,4
"Viceroy Hotel Group",716980,0.474799,19,1200,180000000,525,118,1,0.000000682982,1954819,162,8
"Language Services Associates",1068304,0.750211,27,660,200000000,250,NULL,NULL,0.000000794081,2495856,18,4
"Vertical Bridge",517558,0.674773,4,120,35000000,325,NULL,17,0.000000682982,700000,34,4
"The Woods Gifts",391977,0.245202,NULL,100,15000000,755,NULL,NULL,0,130322,6,1
"Easy Breathe",116747,0.367209,7,15,5000000,633,NULL,8,0.000000682982,28354,10,2
"Department of Corrections- NZ",1679566,0.561703,NULL,7184,1077600000,438,20,67,0.000000682982,9889475,13,4
"Great Falls Marketing",621157,0.516008,NULL,180,35000000,484,26,NULL,0,700000,10,2
"Total Phase",170840,0.781726,NULL,15,5000000,218,26,19,0.000000682982,34442,25,9
"Elwood Staffing",1023139,0.584001,38,1860,279000000,416,587,12,0.000000682982,3481709,86,9
"Washington University in St. Louis",2609033,0.574999,165,11080,1662000000,425,639,18,0.00000089163,21180275,195,10
"Krystle Properties",310903,0.329027,NULL,100,15000000,671,14,15,0.000000682982,136138,17,1
"SSL",1171322,0.565721,61,2480,372000000,434,NULL,28,0.000000682982,4634113,13,4
"Mollie Stone's Markets",530362,0.594513,32,210,35000000,405,NULL,12,0.000000682982,389669,11,5
"Le Pain Quotidien",1025598,0.668258,28,1500,225000000,332,NULL,6,0.000000682982,2687872,45,6
"IntelePeer",341750,0.777816,15,150,35000000,222,461,31,0.000000682982,700000,82,10
"WellSpan Health",1506448,0.563732,138,5060,759000000,436,90,10,0.000000682982,8607868,71,9
"Hospice of North Central Ohio",342905,0.446978,NULL,100,15000000,553,10,10,0,113416,2,1
"Hancock and Whitney",1847670,0.761284,119,3360,504000000,239,NULL,12,0.00000175831,6861224,57,5
"VT Industries",812314,0.729541,62,870,130500000,270,7,NULL,0.000000682982,1401549,16,4
"Leavell Investment Management",116701,0.524107,NULL,15,5000000,476,184,12,0.000000682982,34716,22,5
"Fylde Council",531774,0.426019,35,120,35000000,574,42,77,0,357362,24,NULL
"Rudd and",536265,0.530039,NULL,75,35000000,470,NULL,12,0,324015,4,1
"HomesAndLand.com",474263,0.367267,45,210,35000000,633,103,1,0.000000682982,357362,45,3
"Urology Austin",426286,0.355183,NULL,90,35000000,645,11,8,0.00000178239,264636,29,6
"Paper Destiny",506058,0.336974,68,230,34500000,663,49,NULL,0.000000682982,337207,26,3
"Berg",414312,0.650208,12,130,35000000,350,7,NULL,0.000000682982,317098,22,7
"The Medical Center",331516,0.472234,NULL,100,15000000,528,1,10,0.000000682982,113416,2,1
"Diagnostic Imaging Center - The Medical Centre",536176,0.909707,NULL,100,15000000,90,3,10,0.000000682982,113416,6,1
"Campbell Taylor &",159671,0.426527,NULL,45,5000000,573,NULL,12,0.000000682982,40502,6,3
"National Safety Council",601671,0.510074,105,500,75000000,490,5483,67,0.000000682982,826030,50,11
"Manitoba Hydro",2570747,0.609477,57,10180,1527000000,391,14,7,0.00000125202,20774985,25,2
"Jackson College",880032,0.541331,90,660,200000000,459,14,18,0.000000682982,2549290,32,4
"Teamster",340755,0.536124,NULL,100,15000000,464,NULL,12,0.000000682982,136138,3,2
"ABS Associates",326083,0.704315,NULL,100,15000000,296,NULL,NULL,0.000000682982,135899,13,6
"Highland Rivers Health",498552,0.590796,NULL,210,31500000,409,60,8,0,238173,4,2
"ArrowPointe Federal Credit Union",221189,0.254659,21,45,5000000,745,7,NULL,0,46288,3,2
"Shelia Wilson-Alexander CPA",369072,0.392815,NULL,100,15000000,607,NULL,12,0.000000682982,136138,2,2
"Telenor Group",22712739,0.527041,163,35200,14897000000,473,57,17,0.0000706631,439617232,68,8
"CHEO Hospital Ottawa",1082779,0.800747,NULL,1500,225000000,199,70,10,0.000000682982,2126533,24,5
"JN Phillips Auto Glass",502270,0.331624,NULL,150,35000000,668,93,NULL,0.000000682982,346372,19,3
"netPolarity",529553,0.62638,NULL,150,35000000,374,16,12,0.000000682982,317655,9,2
"State of Illinois",1671846,0.48441,NULL,8890,1333500000,516,82,67,0.00000231423,12237383,112,8
"Rocky Mountain Health Plans",405507,0.547047,44,290,43500000,453,1794,2,0.000000682982,542850,865,16
"TIC Gums",571122,0.777979,109,200,30000000,222,NULL,12,0.000000682982,371113,21,5
"Lash Group",978699,0.3596,32,2000,300000000,640,63,16,0.000000682982,3743770,33,5
"America's Job Link Alliance",185156,0.262852,16,30,4500000,737,82,12,0,35736,14,1
"State of Maine",1526879,0.691208,NULL,4200,630000000,309,29,67,0.000000682982,5782040,87,10
"People For People Workforce Sunnyside",406695,0.237998,NULL,100,15000000,762,NULL,14,0,136138,1,1
"Pearl Country Store",26872,0.312572,NULL,5,500000,687,NULL,NULL,0.000000794081,3711,11,1
"Classic Tax & Accounting",307084,0.358236,NULL,100,15000000,642,NULL,12,0.000000682982,138864,7,3
"Rand McNally",553313,0.75356,162,300,75000000,246,233,19,0.000000794081,1019243,55,7
"ABTA",555529,0.293343,NULL,105,35000000,707,19,1,0.000000682982,304084,22,6
"St. Charles Health System",1606055,0.940107,17,1016,152400000,60,105,10,0.000000682982,1655081,64,6
"Winberie's Oak Park",474405,0.485691,NULL,100,15000000,514,5,6,0.000000682982,300000,6,2
"Pro-Vigil",27924,0.554908,11,6,900000,445,17,19,0.000000682982,6126,24,5
"Colorado Collaborative for Nonprofits",364375,0.311482,5,100,15000000,689,NULL,27,0.000000682982,136138,4,1
"Ben Bolt-PB ISD",329741,0.548567,NULL,100,15000000,451,NULL,NULL,0.000000682982,130322,9,3
"All Cars Auto Sales",413167,0.205485,NULL,100,15000000,795,60,NULL,0.000000682982,148445,11,2
"VWSE - Van Wagner Sports & Entertainment",539598,0.398761,NULL,80,35000000,601,61,12,0,317655,23,2
"Maxim Crane Works",827970,0.539677,NULL,1000,200000000,460,17,1,0.000000682982,1952695,4,2
"InMoment",569302,0.571732,16,460,75000000,428,68,12,0.00000126625,850862,550,16
"Pacific Marine Credit Union",519948,0.606976,66,180,35000000,393,NULL,NULL,0.0000014417,364517,9,3
"Zest Anchors",448715,0.568531,NULL,200,35000000,431,121,8,0.000000794081,264636,62,9
"Cincinnati Eye Institute",568616,0.492296,73,300,35000000,508,NULL,8,0.000000682982,330795,5,2
"Tyler Technologies",1977657,0.712229,52,3760,840662000,288,183,NULL,0.000000794081,10471927,140,12
"fkccpa.com",378992,0.422317,NULL,100,15000000,578,NULL,12,0.000000682982,136138,10,4
"NHS Wales",10371472,0.690391,NULL,72000,10800000000,310,117,10,0,101190325,30,NULL
"Businessolver",936586,0.680748,20,790,200000000,319,NULL,NULL,0.00000175831,2495856,52,8
"Vectorworks",516272,0.825331,33,210,35000000,175,139,19,0.000000682982,356735,76,14
"Shulman Rogers",525502,0.551224,46,240,35000000,449,7,20,0.000000682982,357362,13,4
"Countess NHS Trust",157938,0.906385,189,100,15000000,94,NULL,10,0,141769,5,NULL
"Chatterbox Voices",39769,0.493399,NULL,5,500000,507,NULL,NULL,0.000000794081,7500,10,2
"Jd.Com",27474719,0.558585,14,11850,55689000000,441,21,9,0.000000682982,515911145,3375,17
"Pizza Hut",4667778,0.767672,60,16000,2400000000,232,36,6,0.000000820547,28658367,80,11
"University of Hawaii",1186113,0.510357,110,2830,424500000,490,212,18,0.000000682982,5410811,77,8
"Denton Heart Group",156192,0.291398,NULL,15,5000000,709,29,10,0,28354,6,2
"Clark Schaefer Hackett, CPAs",660741,0.705499,80,390,75000000,295,NULL,12,0.000000682982,1041476,18,4
"Therafit Shoe",21184,0.387747,7,5,500000,612,NULL,12,0.000000682982,3258,7,3
"VCU Health",1649761,0.66218,NULL,5120,768000000,338,60,10,0.000000682982,7258274,34,8
"Hutchinson and Bloodgood",310068,0.5049,NULL,150,35000000,495,21,12,0.000000794081,324015,24,5
"Village Green",663563,0.441714,99,800,120000000,558,53,13,0.000000794081,1633654,37,6
"Ultra Mobile",431406,0.6906,6,160,24000000,309,38,31,0.000000682982,480000,46,6
"Wall Titus",175814,0.316252,NULL,20,5000000,684,10,12,0.000000682982,40502,7,5
"Vertex Wireless",187422,0.56798,12,15,5000000,432,NULL,NULL,0.000000682982,75000,12,4
"Mint Sim",257210,0.60566,NULL,100,15000000,394,NULL,19,0.000000682982,135899,11,6
"BJC HealthCare",3213082,0.68819,25,14740,2211000000,312,21,10,0.00000175831,22978072,43,5
"GetWellNetwork",384134,0.573415,19,280,42000000,427,71,10,0.000000682982,1050000,100,7
"Prudential Financial",38512382,0.778593,143,29640,59689000000,221,48,3,0.000000967502,661007977,115,17
"St. Louis Children's Hospital",1082641,0.613475,139,2000,300000000,387,17,10,0.000000682982,3402443,11,4
"Friedman & Perry Cpa",307587,0.406466,NULL,100,15000000,594,NULL,28,0.000000682982,136138,10,3
"Primary Care Specialists",298483,0.555071,NULL,100,15000000,445,56,10,0.000000682982,113416,9,3
"David Barton Gym",532049,0.525074,26,240,35000000,475,6,NULL,0.000000682982,342094,2,1
"QualiChem",350292,0.223375,NULL,75,11250000,777,NULL,NULL,0.000000794081,111334,7,4
"Elkay Plastics",542690,0.671658,NULL,171,25650000,328,NULL,NULL,0.000000682982,290038,20,2
"Taconic Biosciences",1024465,0.742666,66,770,200000000,257,147,12,0.000000682982,2495856,37,8
"INSYS Group",503342,0.749545,18,210,31500000,250,196,12,0.000000682982,285890,15,6
"Atlas Container",586993,0.64723,NULL,90,35000000,353,NULL,NULL,0.000000682982,395763,8,2
"Dairy Management",484196,0.548085,NULL,270,40500000,452,14,27,0.000000794081,501003,16,4
"Pennine Care NHS Foundation Trust",880556,0.323867,10,1500,225000000,676,17,10,0.000000682982,2126533,12,1
"Payless Decor",136051,0.453658,NULL,10,5000000,546,48,NULL,0.000000794081,33975,7,2
"State of Ohio",1592395,0.599905,NULL,5950,892500000,400,65,67,0.000000682982,8190978,106,11
"Rutter's Farm Stores",1079570,0.512225,50,2000,300000000,488,33,12,0.000000682982,4082216,7,3
"Quick Fuel",417490,0.580726,32,100,15000000,419,NULL,19,0.000000682982,337500,5,2
"One Stop",631204,0.565006,NULL,420,63000000,435,24,NULL,0.000000682982,779337,5,2
"iLoveKickboxing.com",537937,0.578535,NULL,270,35000000,421,86,NULL,0.000000682982,342094,23,3
"University of Idaho",1858479,0.74218,129,3940,591000000,258,124,18,0.000000682982,7532977,84,11
"NSC Technologies",334908,0.414111,18,176,26400000,586,77,12,0.000000682982,239603,23,6
"American Pest",418758,0.537479,47,75,35000000,463,NULL,14,0.000000682982,361640,12,6
"Barclaycard US",25747990,0.720126,52,119000,25948000000,280,6,19,0.000000682982,307854144,157,13
"American Home Patients",45035,0.706277,35,10,1500000,294,98,NULL,0.000000794081,12151,23,6
"Sunnyside Unified School District",917209,0.277351,NULL,1500,225000000,723,140,18,0.000000682982,2389957,19,3
"Toscano Clements Taylor",160218,0.369154,NULL,30,5000000,631,NULL,12,0.000000682982,39707,7,3
"COUNTRY Financial",1694446,0.489114,93,5870,880500000,511,21,NULL,0.000000682982,11986254,111,6
"Tyler ISD",1140430,0.569657,NULL,2704,405600000,430,28,18,0.000000682982,4308260,28,4
"VT Group",692775,0.697631,52,500,75000000,302,18,39,0.000000682982,1020560,19,4
"Orange County Global Medical Center",527930,0.517007,NULL,300,35000000,483,20,10,0.000000682982,297716,6,2
"VisionQuest Eyecare",49764,0.495895,NULL,100,15000000,504,14,10,0.000000784507,130322,10,1
"Neosho County Community College",536128,0.582098,82,210,35000000,418,8,18,0.000000682982,371773,15,3
"Bostwick Laboratories",573917,0.569677,18,300,45000000,430,42,10,0.000000682982,425308,31,3
"Piedmont Virginia Community College",580414,0.430262,46,300,75000000,570,77,18,0.000000682982,876321,24,7
"AmQuip Crane",475580,0.514681,51,180,27000000,485,20,1,0.000000682982,237253,15,4
"Atlantic Coast Mortgage",459267,0.451411,NULL,150,35000000,549,70,NULL,0.000000682982,324015,30,5
"Merchants Metals",610274,0.646086,NULL,360,54000000,354,NULL,NULL,0.000000682982,527229,16,4
"Colchester Hospitals",900757,0.68056,NULL,1000,200000000,319,7,10,0,1890253,7,NULL
"Northeast Ohio Regional Sewer District",625729,0.634743,46,337,50550000,365,35,12,0.000000682982,638381,17,6
"Yukon Public Schools",807140,0.359563,NULL,1250,187500000,640,14,18,0.000000682982,1991633,29,8
"Sallie Mae",1087683,0.769292,46,1500,225000000,231,5,NULL,0.000000872662,2864050,230,12
"Columbia Sportswear",3856785,0.733848,80,6188,2100000000,266,17,NULL,0.000000682982,27358482,90,12
"Federal Direct Tax Services",151504,0.182378,NULL,30,5000000,818,12,NULL,0.000000682982,40502,10,2
"Palm Bay International",573232,0.680632,NULL,300,45000000,319,12,NULL,0.000000682982,556669,20,6
"SuperBetter",197649,0.528741,3,10,5000000,471,NULL,NULL,0.000000682982,75000,13,4
"Teton Gravity Research",575445,0.682157,23,68,35000000,318,NULL,NULL,0.000000682982,389669,7,4
"Hawkes Health",72086,0.289107,NULL,5,750000,711,30,NULL,0,11250,7,1
"Zen Studios",282787,0.384045,15,50,5000000,616,5,NULL,0.000000682982,87500,13,1
"Monterey County Highway G16",167532,0.378573,NULL,100,15000000,621,68,0,0,111334,NULL,NULL
"PCA SKIN",273031,0.59464,28,150,22500000,405,149,NULL,0.00000178239,219918,82,8
"Freebord",26869,0.321569,21,5,500000,678,NULL,NULL,0.000000794081,3801,4,2
"SystemTools Software",21724,0.407668,NULL,5,500000,592,105,19,0.000000794081,3397,24,1
"VRTalk",530812,0.560425,NULL,100,15000000,440,NULL,NULL,0,300000,5,2
"supertrapp.com",349040,0.607812,NULL,100,15000000,392,892,NULL,0.000000682982,130322,20,4
"Viacom",23871528,0.767015,47,10750,12488000000,233,614,25,0.000000754112,339458858,509,17
"Auckland DHB",1028116,0.556294,NULL,2250,337500000,444,24,10,0.000000682982,3189785,12,5
"TransCen",158269,0.413967,NULL,30,5000000,586,NULL,37,0.000000682982,39707,15,1
"Playkot",571086,0.699873,NULL,60,35000000,300,10,19,0.000000682982,700000,29,3
"Zarafa",490105,0.660952,19,60,35000000,339,156,19,0.000000682982,317098,33,2
"Wisenbaker Builder Services",611822,0.334705,NULL,480,75000000,665,21,1,0.00000125202,732262,15,3
"Ebara International",485891,0.488398,106,180,27000000,512,29,NULL,0.00000178841,309977,23,7
"Hertzbach",545814,0.728121,NULL,180,35000000,272,35,12,0.000000682982,324015,13,4
"DiCentral",553812,0.474773,18,340,75000000,525,163,19,0.000000682982,849369,33,7
"Ziegler",658693,0.549031,116,510,75000000,451,NULL,69,0.000000682982,1041476,14,4
"Downeast Credit Union",337993,0.336557,NULL,100,15000000,663,NULL,19,0.000000794081,138864,8,4
"Beckett Air",286474,0.209064,NULL,45,6750000,791,10,1,0.000000794081,66800,12,5
"Independence School District",19993,0.438052,NULL,5,500000,562,87,18,0.000000794081,3187,35,4
"NHS SBS",874079,0.411883,NULL,960,200000000,588,7,21,0,2268960,3,NULL
"Federal Process",183971,0.337575,NULL,45,5000000,662,42,NULL,0.000000682982,43297,9,1
"City of Richmond",504498,0.528476,212,120,35000000,472,NULL,67,0.000000682982,321234,3,1
"Near North Montessori School",116358,0.453495,55,100,15000000,547,NULL,18,0.00000178841,143398,12,NULL
"Plaid Academy",334593,0.449649,NULL,100,15000000,550,NULL,18,0.000000682982,127465,14,2
"North Park Elementary School",516484,0.46752,NULL,60,35000000,532,NULL,18,0.000000682982,297418,2,1
"Welcome",338601,0.490789,NULL,100,15000000,509,NULL,18,0.000000682982,127465,3,1
"Providence St. Mel School",336687,0.462626,NULL,100,15000000,537,10,NULL,0.000000682982,127465,3,1
"Lutheran Unity School Association",397102,0.313823,NULL,100,15000000,686,NULL,39,0,136138,5,1
"Pilgrim Lutheran Church School",24028,0.345565,NULL,5,500000,654,NULL,39,0.000000794081,3403,8,2
"RCM Health Care Services",557604,0.573946,43,210,35000000,426,NULL,12,0,357362,1,1
"Rogers Park Montessori School",360415,0.271015,NULL,100,15000000,729,NULL,NULL,0.000000682982,127465,6,4
"Sacred Heart Schools",618594,0.550797,142,420,75000000,449,3132,18,0.000000682982,955986,21,5
"St Andrews Lutheran School",297726,0.419699,NULL,100,15000000,580,NULL,39,0.000000682982,136138,2,2
"stjohnschicago.org",368168,0.242796,NULL,100,15000000,757,NULL,27,0.000000682982,136138,8,2
"The Ancona School",560273,0.506733,56,60,35000000,493,18,18,0.000000682982,334595,14,3
"Daystar School",161190,0.512206,NULL,30,5000000,488,NULL,18,0.000000682982,37177,36,6
"Humbolt Community Christian School",351529,0.406059,37,100,15000000,594,NULL,39,0.000000682982,153155,19,4
"Altus Academy",367996,0.356339,NULL,100,15000000,644,45,40,0.000000682982,136138,10,1
"Beverly Montessori School",389817,0.356452,51,100,15000000,644,NULL,18,0.000000682982,143398,2,1
"Brickton Montessori School",185092,0.442416,32,30,5000000,558,NULL,18,0.000000682982,42488,12,5
"Catherine Cook School",573570,0.507387,43,90,35000000,493,NULL,18,0.000000682982,334595,8,3
"Bernard Zell Anshe Emet Day School",448563,0.378375,72,120,35000000,622,41,18,0.000000682982,334595,25,5
"Chicago Jewish Day School",193279,0.311883,NULL,30,5000000,688,NULL,NULL,0.000000682982,40502,1,NULL
"Holy Family Ministries",171173,0.429745,33,45,5000000,570,42,39,0.000000682982,45379,45,9
"Vintage Realty",532661,0.658284,30,90,35000000,342,NULL,13,0.000000682982,357362,9,4
"Francis W. Parker School",528552,0.5366,117,238,35000000,463,7,18,0.000000682982,371773,25,10
"Grace Lutheran School",366098,0.428761,NULL,100,15000000,571,NULL,18,0,127465,5,3
"cwscs",353663,0.496431,NULL,100,15000000,504,NULL,18,0.000000682982,127465,4,1
"Weekends Only",515283,0.668258,21,150,35000000,332,12,NULL,0.000000682982,342094,13,5
"Century Martial Arts",600816,0.520913,42,150,35000000,479,NULL,NULL,0.000000682982,445234,21,4
"Purdys Chocolatier",584127,0.653941,111,280,42000000,346,21,NULL,0.000000682982,623470,12,5
"West Music",384019,0.641743,77,119,35000000,358,24,12,0.000000682982,787500,21,7
"Theisen's Home Farm Auto",658322,0.661814,91,210,35000000,338,21,13,0.000000682982,808863,6,3
"Runnings",912601,0.558715,71,720,200000000,441,14,29,0.000000794081,2491477,9,4
"Tempur-Pedic",157085,0.531502,26,40,6000000,468,NULL,NULL,0.000000682982,58645,45,8
"Atwoods Ranch & Home",559332,0.482664,58,280,35000000,517,NULL,29,0.000000682982,396373,7,3
"Hampton Jitney",485933,0.526999,44,100,15000000,473,2,NULL,0.000000682982,337500,3,2
"Marbles: The Brain Store",185757,0.592405,10,80,12000000,408,68,NULL,0.000000682982,104257,10,6
